Series_Name,Country_Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Current health expenditure per capita (current US$),Gabon,127.6435394,125.7693939,137.2801514,174.1004334,190.8656769,199.5854797,223.3005524,266.2097168,285.3922424,297.4153748,218.8583832,276.1181946,237.5954742,275.0193481,244.4314728,196.1650543
Current health expenditure per capita (current US$),Gambia,50.86863708,41.45034027,39.55756378,30.87388229,34.72867203,35.80473328,35.87295151,38.60668182,42.96466064,36.94911575,35.2233963,33.1423111,31.41952705,27.41661644,22.47270203,20.98540878
Current health expenditure per capita (current US$),Georgia,51.85281754,55.22227478,64.06044006,77.73462677,100.874176,126.4450836,145.0523071,186.6177826,268.1403503,257.0617676,271.0166626,296.6886902,326.4760742,334.6890564,345.2559815,275.8408203
Current health expenditure per capita (current US$),Germany,2344.354736,2346.61499,2567.491455,3152.780518,3459.80957,3558.198242,3697.921631,4182.799316,4669.635254,4674.783203,4611.810547,5036.484863,4762.847656,5096.820801,5304.318848,4622.206543
Current health expenditure per capita (current US$),Ghana,17.85551643,20.92321587,21.03129005,25.49957466,29.50203323,44.7131424,50.95217896,60.0993042,68.42399597,67.71266937,81.50324249,100.2524643,91.01084137,109.9452362,80.73294067,81.61917114
Current health expenditure per capita (current US$),Greece,885.4104004,1004.81543,1168.824097,1566.40979,1782.695923,1935.267578,2052.875488,2426.759521,2840.508545,2809.05957,2564.369873,2338.915771,1948.248169,1813.878296,1705.11438,1452.074463
Current health expenditure per capita (current US$),Grenada,270.9839172,283.4758301,322.0144043,300.3641968,308.148407,341.8997498,340.3971558,377.7578735,421.8442993,396.1437683,393.3341065,423.1154175,433.5095215,438.2797241,399.5325317,422.7217712
Current health expenditure per capita (current US$),Guatemala,83.95554352,100.3934326,107.955986,113.6128998,122.2627335,132.334137,148.7137756,158.3339233,174.7788696,168.1847839,173.7517853,189.2429047,198.4665527,196.1355896,213.942749,229.8061981
Current health expenditure per capita (current US$),Guinea,23.25868988,22.10671425,25.11627769,25.97815895,26.85185814,19.99720573,16.37105751,22.65211487,23.32725334,24.11268997,23.04640198,24.67529106,24.29986,26.61382103,37.69287872,44.68756485
Current health expenditure per capita (current US$),Guinea-Bissau,20.70239449,19.8405323,20.14164352,24.20259094,31.0591526,31.52978706,30.46108055,36.34542084,41.70643997,39.16440582,36.09091187,43.17166519,35.52560806,43.96840286,59.30418015,51.83914566
Current health expenditure per capita (current US$),Guyana,63.1490097,60.86844635,65.68416595,68.69402313,79.27994537,87.48361969,101.8866577,129.2283936,143.8078766,154.4651794,176.9506683,190.9325562,195.220047,206.0122986,214.1989899,223.6776733
Current health expenditure per capita (current US$),Haiti,29.78231049,26.90669823,21.99154663,18.31630516,23.67709351,24.89042091,28.71922302,37.11300278,39.96041489,40.94065857,54.9171524,75.70629883,73.7585144,58.3646965,64.02371216,67.40187836
Current health expenditure per capita (current US$),Honduras,68.51774597,67.19782257,70.8179245,79.79921722,83.47966766,98.11772919,112.4480057,127.9885101,149.6478577,161.0005493,166.1611633,183.6016846,185.6259155,178.2416534,174.5997925,172.2920532
Current health expenditure per capita (current US$),Hungary,313.1085815,359.6974793,473.1278381,682.8656616,798.4536133,895.2033081,893.2030029,1003.258179,1117.202271,943.6876831,983.1108398,1063.432251,961.1383667,990.6311646,1006.156494,870.5192261
Current health expenditure per capita (current US$),Iceland,2873.848145,2557.269531,3091.28833,3955.023926,4497.974121,5213.475586,5071.869629,6085.484863,4946.0625,3693.556885,3644.802734,3866.707275,3705.375244,4028.831543,4474.374023,4281.575684
Current health expenditure per capita (current US$),India,18.50239372,19.79767799,20.23548126,21.99779892,25.06458473,27.66702271,29.56233788,35.85623932,37.88212204,38.30339432,45.12977219,48.60390472,48.94621658,56.11839676,57.07431793,58.91690063
Current health expenditure per capita (current US$),Indonesia,16.20165443,17.69404984,19.90477753,26.67323875,27.17466164,35.50515366,46.20238876,58.18482971,61.95336533,65.10107422,92.45002747,107.6673508,107.2423248,107.2918243,108.838562,99.65550232
Current health expenditure per capita (current US$),Iran (Islamic Republic of),80.85904694,94.61769867,105.7709427,116.6152039,142.404541,174.8438721,199.8020172,248.3849487,302.4498291,371.420105,445.6636353,530.7138062,525.5848389,418.8852844,387.3760986,379.2756348
Current health expenditure per capita (current US$),Iraq,..,..,..,28.1536808,53.50862122,53.76188278,57.19505692,98.87436676,132.1146545,167.3632965,150.45607,168.7490234,183.9160767,199.5162201,190.6933289,156.8372345
Current health expenditure per capita (current US$),Ireland,1564.837402,1823.734741,2200.357422,2910.932129,3483.160645,3938.191162,4147.132324,4858.64502,5638.779297,5502.887695,5133.455078,5570.705566,5239.337891,5331.600586,5399.598633,4561.737793
Current health expenditure per capita (current US$),Israel,1513.944702,1559.083252,1403.31604,1433.670776,1488.161377,1555.036011,1593.609863,1799.732544,2144.821533,2039.003052,2234.949707,2437.046143,2402.915771,2678.361816,2819.571777,2670.466797
Current health expenditure per capita (current US$),Italy,1524.239624,1586.657104,1762.537598,2163.025391,2565.627441,2677.552246,2832.697754,3092.558838,3504.111572,3337.750732,3217.682861,3392.012695,3086.303223,3149.242676,3154.275879,2675.671631
Current health expenditure per capita (current US$),Jamaica,191.4724731,177.2637482,171.2720642,146.8826294,179.3847046,186.5417328,182.2562256,246.0103607,276.5376892,223.1117401,249.0825958,267.7389832,254.507782,247.2129669,249.7215576,276.0567322
Current health expenditure per capita (current US$),Japan,2740.674805,2479.811523,2404.646484,2642.227051,2875.933594,2883.300049,2754.377441,2772.697021,3213.695557,3686.154297,4060.490967,5087.356445,5212.183594,4336.106934,4099.280273,3733.376465
Current health expenditure per capita (current US$),Jordan,159.147644,170.0458069,174.0001984,171.0476685,184.5114899,193.5009613,202.4481354,227.0579071,293.3645935,328.3468628,305.2936096,313.9347839,305.7170715,289.8249817,297.8348999,310.6847229
Current health expenditure per capita (current US$),Kazakhstan,50.99633026,51.56954956,59.46535873,76.02937317,112.7056961,144.7014008,177.0089569,180.5011597,256.544281,251.4995422,249.2689209,303.9808655,377.1272888,370.0940247,380.6600952,319.0499268
Current health expenditure per capita (current US$),Kenya,20.51720238,21.25755501,21.68992996,25.03597069,27.09413719,30.47352028,40.28915024,49.51648712,54.57352448,54.56043243,58.21165848,56.46788025,63.82013702,66.80593872,71.83386993,69.77667999
Current health expenditure per capita (current US$),Kiribati,68.88991547,90.62192535,98.50437927,108.2701035,140.2951965,139.9230957,134.9060059,156.480072,200.8367004,176.545578,139.495224,148.8027039,154.0032349,162.524765,162.9607697,123.3463974
Current health expenditure per capita (current US$),Republic of Korea,473.9867554,508.2807617,544.2607422,644.149231,717.8743286,886.4706421,1065.266479,1223.174438,1149.708618,1106.064087,1366.384399,1512.452515,1566.122803,1701.154419,1898.920898,1918.689697
Current health expenditure per capita (current US$),Kuwait,463.8598328,598.4143677,637.4488525,715.6280518,744.8129273,846.2843018,964.0189819,976.5664063,1072.813354,1453.460449,1063.564697,1272.992432,1337.652588,1276.945068,1409.093628,1199.363525
